,texts,labels
5890,አልቀረብህም ግንባር ቀደም ሯጭ ልብስ ቀይሮ የሚሮጠው ማን ነበር,neutral
5891,አማራ እየሞተ የነገ ኢትዮጵያ የምትባል የለችም መኖርም የለባትም,negative
5892,ኢትዮጵያ ምርጥ ልጅ አላት ግን ልጆቾን የሚበላ አለ,negative
5893,አመት ተበልተን አሁንም ደሜ ታስበሉን እረ በቃ,neutral
5894,ምን ይመስላል አሳማ,neutral
5895,የእሪዳታው ፈክ ዝናብ,neutral
5896,እኔ የምገርመኝ ትግራይ ዉስጥ አዳድስ የጦር መሳርያ እንደገባ ተረጋግጧል በየ ቀኑ የእርዳታ እህል ይጫናል ገራ የገባኝ የጦር መሳርያ የምገባዉ በየት በኩልነዉ ይበቅላል እንደ ወይስ እነኝህ መኪኖች የጦር መሳር ጭኗሉ ብለን ብንጠረጥር ምንም ክፋት የለዉም ለላዉ የትግራይ ወንድሞቻችን ወደስራ እንድገቡ መንግስ አቋም መዉሰድ አለበት ይህ ካልሆነ የምን መንግስት አለ ማለትነዉ,neutral
5897,ትግራይ በምግብ ተንበሸበሸች በደለኛ,neutral
5898,ስገጤው ዝም ብሎ ተመልካች ሆኗል,neutral
5899,ከትግራይ ዩኒቨርስቲ የተመለሱ ተማሪዎች ቅሬታ    ,negative
5900,ተበዳ በየሳምቱ ማውረድ መስቀል አየመሪ,negative
5901,በተደረገው አፈና  ግለሰቦች ተያዙ በሚል ይስተካከል ,neutral
5902, ሰወችን በማንነታቸው ምክንያት ፈርጣጩ የብልጽግና መንግስት አገታቸው በሚለው ይስተካከል,negative
5903,ለዚህ ቡድን የሚወጣ ማንኛውም ወጪ ተደምሮ እግርኳሱን በዘመናዊ መንገድ ለማሰልጠን የሚረዱ መጽሐፍት ተገዝተው ለአብረሆት ቤተ መጽሐፍት ይበርከት,negative
5904,የሚፈሰዉን የሰዉ ደም ወዴ ነዳጅ መቀየር አይሻልም,negative
5905,ወይ ዘንድሮ የእናንተ  አይጠገብም,negative
5906,በስመ አብ ሩቅ ሃገር ሂደዋል ፈጣሪ አቸው,negative
5907,ኦባሳንጆ ከህወሀት ጋር እያደራደረ ነው,negative
5908,ተረኛ ስትሆን,negative
5909,ብአዴን የተዋደበት አስገራሚ ቪዲዮ በ እጃችን ገብቷልንፋስ መውጫ እስር ቤት የ ኦሮሚያ ፓሊስ ገባ,negative
5910,የአማራ ወጣት መሀበር ለምን አንዲጠፍ ተደረገ,negative
5911,ቀዳዳ እዬብ,negative
5912,ይህን ብር እያተማችሁ በትኑ የኑሮ ውድነቱ እንደው አይሰማችሁም,neutral
5913,ልደሃ ጠብ የሚል የለም,negative
5914,መች ነው ከመለመን እምትወጣ,negative
5915,የተማረው ቀርቶ ያልተማረው በሚቀጥረባት ሃገር ምን አይነት አስተዋጽኦይኖራል,neutral
5916,በቃህ መረረን,negative
5917,በየት በኩል,neutral
5918,እየበሉ ማውራት እኮ ሀራም ነው አለ ዘቀጠ ሞላ አንተ አጋስስ,negative
5919,ጥሩ ጅምር ነው ለ ብሔር ብሔረሰቦች መድረስ አለበት,neutral
5920,አሽቋላጭ የሆነች አሮጊት,neutral
5921,ኸረ በሳቅ አለቅን,negative
5922,ምን ያገባናል,neutral
5923,የአገሬ የቀበልየልጂአቦይመችህ ድምፀ መረዋ ብየሀለው,neutral
5924,ድንጋይ ተቀመጠ ብልፅግና ብዙ ድንጋዮችን አስቀመጠ ለአማራ ፋኖ መቀመጫ ሊያሳጣ,negative
5925,አይ ጀግናው ፐፐፐፐፐፐፐፐ በቃ ተሣካልህ እንዳንተ አይነት ሠው የተወለደበት ማህፀን አቤት አቤት ውርጃ,negative
5926,ሌባው እስኪ አንተ ደሞዝ አልባ ስራ ይህ አርያ የሚባለው,negative
5927,ማኛ ቆራጥ ጀግና,negative
5928,ሸኔ ወይስ ኦነግ ሸኔ,negative
5929,ከሁሉም የምት ገርመው በአማራ ክልል የኦሮሞ ዞን የምትለዋ ቃል ነች,negative
5930,እውነት የሌለው ቅዠት አሰለችም,negative
5931,ክክክክክ ታስቃላችሁ ምክክረ ከተጀመረ ወድህ የስንት ሰወ ህይወት እንዳለፈ ዘገባ አቅረቡ እንጅ,negative
5932,ቅዥታም,negative
5933,እረ የት እንሂድ,negative
5934,እስኪ አታስቁን አልሸባብ እኮ ቀድማ የፈረሰች አገር አያፈርስም,negative
5935,አልሸባብ እናንተ ናቹ ,negative
5936,ኦሮሚያ ላይ ተከስቶ የነበረው ባንክ ዝርፊያ እና የሰው ህይወት መጥፋት ሽልማት ነበረ ለዚች አገር ፈጣሪ አላት ቀልዱ አይ ተረኛ,negative
5937,ህግ ማስከበር  ,negative
5938,የሳዉድ ስቃይ ከ ኢትያዉ ይሻላል ብለዉ በ ህገ ወጥ ተመልሰዉ ይሄዳሉ,neutral
5939,ዋ ፍኖን አትንኩት እናንተ አደርባይ የ ብልጽግና አመራሮች,positive
5940,እኔ ይሄ ነኝ በሬ ይሄ ነው ማነህ የዶር አብይ ፈረስ ስም ደመቀ,positive
5941,በዝህ ሰዓት የአማራ ባለሰልጣኖች ጉድጎድ ምሳችሁ ብትቀመጡ ይሻላችሁል ይህ ትውልድ እችሉትም ከልልን ማርጋጋት ሲገባችሁ የትርምስ ከልል አርጋችሁ ብሶት የወለደው ህዝብ ወየው ከህመሙ ሳያገገም ህመም ትጨምሩብናላችሁ አላህ ይፍርዳችሁ,positive
5942,ጥሩ አባባል ነው ወጣቶች ተነስታችሁ የችግር ሁሉ ምንጭ የሆነውን ብልፅግና ኦነግን አስወግዱ,positive
5943,የኔ ገንገበት ስለ አፍሪካ ሲያወራ    ድፍን  አመቱ ከታፈነ,negative
5944,ኑሩልን የህዝብ አለይታ ናችሁ ግን ከፖለቲካ አጀዳ እራቁ ጀግኖች ናችሂ,negative
5945,በአገር መከላከያ ሰራዊታችን እጅጉን ኮረቻለሁ ሁሌም ከጎናቹ ነኝ ክብር ለመከላከያ ሰራዊታችን    ,negative
5946,ለታክሲ በምሽት እረጅም ሰልፍ የሚሰለፉ ነፍሰ ጡሮችና አዛውንት ሽማግሌዎች አምላካቸው ይፋረድረሽ ትራንስፓርት ሚኒስተር ,negative
5947,እኛ መቼ ይሆን ወደሱ የምንሄደው,negative
5948,እናንተ እያላችሁ እንዴት እንግባባ,negative
5949,እናንተም በኢትዮጵያ ታሪክ በጥቁር መዝገብ ሰፍራችኋል እውነት ለኢትዮጵያ ታሪክ አዝናችሁ ሳይሆን ከምዕራባውያን የታዘዛችሁትን እያስፈጸማችሁ ነው,negative
5950,አላህ በላ ያውርድባችሁ እናት ፊንድያውች ሀገር አፍራሽ ቅርብ ነው በወያኔ ማየት ትችላላችሁ,negative
5951,በኦሮሚያ አንድነት ብቻ,negative
5952,ሙርከኛቹ አሳዘኑን ተቀበልዋቸው እሰኪ,neutral
5953,ክክክክክ እኛ ያልፈቀድንላት ወፍም አታልፍም ተብሎ ተዝቶ ነበር ታድያ እስከ ሽዋ ሲመጡ ማድ ቤት ነበራችሁ ,neutral
5954,ጀግና አንበሰ,negative
5955,ተረኛው ተምች,negative
5956,ስለዚህ ጠመንጃቹን አስቀምጣችሁ ወደ እርሻ ጊቡ የምትገሉት አዉሬ የለምና,positive
5957,በዚህ ወሳኝ ወቅት መንግስት ሕግን ያስከብር ከጎኑም እቆማለሁ,negative
5958,የሆነ ነገር አስታወስኩ,negative
5959,አማራክልል ደግሞ በየከተማው እየዞሩ እየገደሉነው,positive
5960,ብልጽግናን እንቀብርበታለን,negative
5961,አረፍ ሊደርስ ነው ስለምን እንደሚያወሩ አያውቁም,positive
5962,ምንየሚሉት ኢድነውደሞ,negative
5963,ከፊ ከፊ ባሉልን እኖደቹሃሌን ,neutral
5964,በህፃኖችበገተቶች እና በተጋላቢወች የሚገለፅ ሀገራዊ ክስረት,negative
5965,ንጉስ በሰራዊቱ ብዛት አይድንም,neutral
5966,ኮለጁ የሰውዬው ልሆን ይችላል,neutral
5967,እስከ ሐምሌ ድረስ የማብራት አገልግሎት በሌለባቸው የስዳማ ክልል በርካታ ወረዳዎች በንሳ ዳዬንም ጨምሮ ጊዚያዊ መፍትሔ ቢፈልግላቸው,neutral
5968,ጥሩ ጅምር ነው ነገር ግን ቤንሻንጉል  ሰው ብቻ አደለም የሞተ ወለጋም ሽዋም ጉራ ፈርዳም ይሻገርና ወንጀለኛን ይክሰስ ህጉ,neutral
5969,ወይኔ ብልጽግና,neutral
5970,አማራ ክልል ክብሪቱን ጭራችሁ እዚህ በሰላም ታወራላችሁ አይደል ,positive
5971,የሲቪል ሰርቪስ ተቋም ስራውና ተግባሩ ምንድነው አልገባኝም,negative
5972,ኢትዮጵያ እራሱ በአብይ ብልግና ውይ ፅን ረስቼ ነው,neutral
5973,ብልጽግና ከህዋት የባሰ ጨቋኝ መሆኑን ስላላወቁ ነው,positive
5974,አንድ ዘረኛ በሞተ ቁጥር ሰላም ይሰማኛል,neutral
5975,አልቾኮላችሁም,neutral
5976,እንደ መንግስት ተዋግቶ ነፃ ማውጣት ያስፈልግ ነበር,neutral
5977,አይ ይች ቅም ቅም አወዳደቅህ እዳይከፋ በሰላም በወረድህ,neutral
5978,ፋና አሸባሪ ነው ,neutral
5979,አይ ሙሰኞች የሀገር ጅቦች አመራሩ ላይ መቆጣጠሪያ ሳታላይት መግጠም ከቻላችሁ ያን ሀገረ እትዮጵያ ትድናለች ,neutral
5980,ማር ከጠፍባችሁ አናፍርም ብላችሁ ተናገሩ ምንአልባት ልብሳቸውን ቀይራችሁ እላቸው ይሆናል,neutral
5981,ሌላ የለሽም,neutral
5982,የተሰብሳቢዎች ፊት ግን እንኳን  ሚሊዩን ያተረፉ የወር ደመወዛቸው በአግባቡ የሚከፈላቸው አይመስሉም ,neutral
5983,የወንድም እና እህት ነፍሰ ሻጮች,neutral
5984,ሊበሉት ነው,negative
5985,ዘላቂው መፍትሄ የእትዮጲያ ህዝብን ማማከል ነው,negative
5986,መፍትሄው ብልግና ስልጣኑን ለህወሓት ማስረከብ ነው,negative
5987,ዳቦ በሙዝ መብላት,neutral
5988,ምኑ አስድታችሁ ያሳዝናል,neutral
5989,ሲላ አብይ ማይራባ ኮመንት የምት ሳጡት ባታዎላዳቹባ ላማ ዳባቅ ትሞክራላችሁ,negative
5990,ሚዲያ ህውሀት ዘራፊ አውዳሚ ሌባ ትላላችሁ ለምን አሁን ለመረጥነው ብልፅግና መንግስት ተጠያቂ ነው አትሉም ሁለቱም ለስልጣን ብለው ነው,positive
5991,ደግ ነው  ,neutral
5992,ወይ ፋና የደቡብ አፍሪካ ሰንደቃላማ ለጥፈህ ሞዛምቢክ ትላለህ ስለዚህ ዘገባህ ጎደሎ ነው,positive
5993,ፋና የአሽባሪውና የዘራፊው የጨፍጫፊው የጎደር ፋኖ ልሳን የሌቦች ሚድያ,neutral
5994,በሴቶች ኢትዮጵያ   ጋና   ደቡብ አፍሩካ  ናይጄሩያ ዩኤስ ስዊድን ጃፓን  ስዌዘርላንድ  ወዘተ   የተካተቱ ምርቶች ነበሩ,negative
5995,በግለሰብ የተሰራ አስመርቁ እናተማ የኦህዴድ ተላላኪዎች ናችሁ,negative
5996,ደብብ ክልል የምባል የለም,positive
5997,ጠሚ ነበር ይሄን መግጥ የነበረው,negative
5998,አብይ ግን ደንግጧል,negative
5999,እጅግ ጠቃሚ መረጃ,negative
6000,ምርጫ ተካሔዶ ውጤቱ ታውቆል ግንቦት ከለሊቱ ይፉ ሆኖል ሶማሊያ ውስጥ ከአካል ስላለው ይፉ ሆኖል ውጤቱ ፎርማጆ ተሸንፎል,negative
6001,እነዝህ በህገ ወጢ ስራ ላይ የተሰማሩና ቁጥጥር ስር የዋሉ ቹ በህግ አክባብ ቅጣት አገኝቷል ወይ ካላገኙ ማግኘት አለባቸዉ,neutral
6002,የተበላሸ አሰራር ስራአት በሌላቸው ሰራተኞችና,neutral
6003,መራራ ጉደኛ ስለ ብልጽግና ሲያወራ ሰማሁ ልበል,neutral
6004,ድሮስ መቼ አጣነው ኦፌኮ የብልፅግና ቅርንጫፍ እንደሆነ,positive
6005,መጀመሪያ ትዳር መስርት ጅል ሽማግሌ,neutral
6006,ተሎ በፅደቀ,neutral
6007,ድምፅና ድምፃዊ ድሮ ቀረ,neutral
6008,ስለትምህርትስ,negative
6009,አስማሰዮች,negative
6010,ስብሠባው አማራን ለመጉዳት ነው,negative
6011,ጥሩነው ቀጥሉበት ከባለስልጣኑም ሌባውን ይለይ,negative
6012,ለትንሽቀንይሰራናከዛቻው,neutral
6013,የጨነቀው,neutral
6014,እስኪ እንሞክራለን ,negative
6015,ከእግዚአብሔር ጋር እንጠብቃለን ,positive
6016,እስልምና ሃይማኖት እንጂ የፖለቲካ ተቋም አደለም መጅሊሱን ለሙስሊሞች ተውት,negative
6017,አረ አትደከሙ,neutral
6018,አንድ አንድ ኮልኮሌ ከቀረጥ ነፃ ይፈቀድልን,negative
6019,አረ ምነዉ እናቶች ላይ ትኩርት የለም በግማሽ አመት ይህን ያህል በጣም ያስጥላል,neutral
6020,እርሳቸው እንዲገቡበት ተመኘሁ,positive
6021,ተክለ ልትደፍኑበት ነው ወይስ ሬሳ ባሁን ሳኣት እየረገፈ ያለ የሰዉ ህወት እንጅ የአትክልት ፍሬ አይደለም ማፈርያዎች,negative
6022,ማስመሰሉን ተውት ችግኝ ተከላ ሰውን ያህል ፍጡር እየነቀላችሁ,neutral
6023,አማራን ለማዘናጋት ጠየቀውን ጥያቂ አለመመለስ ነው,neutral
6024,አማራ ዛሬ እንዲህ ታደርግና ነገ ጭራሹን ለማስገድ ቀላል እያደርግን ነውአይዞሽ ገለቴ ለትንሽ ቀን ነው,neutral
6025,ለመከላከያ የሚቆረጠው የመንግስት ሰራተኞች ደመወዝ ከዛሬ ጀምሮ ለተፈናቃዮች ይሰጥ,negative
6026,መንግስትማ እረስቷቸዋል እነሱ ይጠይቁ እንጅ በትንሹ እንኳ በአማራ ክልል እየደረሰ ስላለው መፈናቀልና ርሃብ መግለጫ የተነፈገው ህዝብ ነው,negative
6027,ማዳበሪያ እና ምርጥ ዘር ለገበሬዎች በስርዓቱ ማቅረብ ያልቻለ መንግሥትና ግብርና ሚኒስቴር በምኑ ነው   ኩንታል የሚያመርተው በዶክተር አቢይ እምነት ነበረን አሁን ግን ሁሉ ነገራችሁ ቅዠት ነው ቅዠት,negative
6028,ጁንታዎች,negative
6029,ኢትዮጵያ ትክክል ጅግኖዎች አላት,negative
6030,ጀግና ወችእንኮራባቹለን,neutral
6031,አርሰናል ነው ፈርሰናል,positive
6032,ምን ያደርጋል ደጋፊዉን መርጦ አስገብቶ ስለ ዉይይት ያወራሉ ለምን በሥራ ቀን እንዲሆን ተደረገ በዚህ ሰርተን መብላት ያልቻልንበትጨወቅት ለምን በእረፍት ቀን ሆኖ በእድሜ ክልል ሁሉም ኢትዮጵያዊ እንድወያይ አላደረጋችሁም የራሳችሁ የሆኑ በአቤል ሰብስባችሁ መቼም ችግሩን አይናገርም ምድረ አሽቃባጭ ያዉ ነዉ የኢህአዴግ ታናሽ ወንድም ነዉ ማነዉ አወያይ ከባለሀብቱ ጋር ሽርክና የሚሰሩ በየቢሮዉ የተሸሸጉ ሌቦችን ሳታፀዱ ዉይይት ምን ያደርጋል መጀመሪያ በሽተኛዉን እያስታመማችሁ ስለ ዉይይት ማዉራት ፌዝ ነዉ,neutral
6033,ሌባ ሁላ,negative
6034,ህዝብ ያላችሁት ግን እነማንን ነዉበቃ ይህ ነዉ,positive
6035,ከሁሌ ስብሰባ አንድ ተግባር ሰርቶ የህዝብን እምባ ማበስ ይበልጥ ነበር,neutral
6036,የአዲስ አበባ ህዝብ እነዚህ ናቸው ለምን ወደ ታች ወረድ አትሉም እዛ እኮ ነው ማህበራዊም ኢኮኖሚያዊም ፖለቲካዊም ቀውስ ያለው,neutral
6037,የ ካድሬ ስብስብ,negative
6038,አዳራሹን የሞላው የብልፅግና አባል ነው ወይንስ ከሕዝብ የተውጣጡ አካላት ናቸው,negative
6039,ፋናዎች እስኪ የህዝብ ድምፅን አሰሙ ወጣቱን አሰልጥኖ በነፃ አሰርቶ የበተነውን ዘግቡት,negative
6040,መልካም እና ተጠናክሮ መቀጠል ያለበት ተግባሪ ነው ደግሞ መቼም የህብረተሰቡን ትብብር ያስፈልጋል,negative
6041,ቀዳዳ,negative
6042,ምን ያንጫጫችሗል የተወራው ስለራሱ ክልል ነው ያልተመቸው ውልቅ ይበል መሬቱን ሀብቱን ወዶ ሙጥኝ ብሎ ህዝቡን መንቀፍ ምን ይሉታል,negative
6043,የኢትዮ ፖስታ አገልግሎት ጥሩ ድርጅት ነበረ ነገር ግን ሠራተኛቻቸሁ ደንበኛን በማጉላላት ወደር የሌላቸው መሆኑ ብታውቁት መልካም ነው,negative
6044,ኧረ በኢትዮጵያ አምላክ ይህን ባንዴራሠንደቅ ዓላማ ወገቡ ላይ ያለውን ኢትዮጵያዊነትን የበተነ አውሬ አጥፉልን,negative
6045,ኢትዮጵያ ሁሉንም ችላ ትቀጥላለች እውነት ያለው ከኢትዮጵያ ጋር ነው ምንግስት ህገመንግስቱን ያክብር ያስከብር በራስ መተማመን ሲያዩ ሁሉም ያከብሩሀል ኢትዮጵያ በልጆቿ ጥረት ታፍራና ተከብራ ለዘላለም ትኑር አሜን ፈጣሪ ኢትዮጵያን ህዝቦቿን ይባርክ አሜን አሜን አሜን,positive
6046,እውነት ነው ያሉትን ችግሮች በመረዳት መንግስ መንግስት መሆን አለመቻሉን የሰባዌ ጥሰቱ ከየትኛው ጊዜ በላይ መሆኑን ዜጎች በማንነታቸው የሚገደሉባት የሚሰደዱባት ሀገር መሆኗን አለም እንዲውቀው በብርቱ መሰራት አለበት,positive
6047,መልካም ጉብኝት ለጠሚንስቴራችን ለምቀጥላው ለፕሮጀክቱ ምርቀት ያብቀቻው ውዱ መርያችን ,negative
6048,ፍትህ ለወልድያ ከተማ መንገድ የመንግስት ያለህ,negative
6049,አሁን የደረሰን ማስረጃ ,negative
6050,እንደተቀለደ አይቀር አንድ ቀን ይፈርዳል,negative
6051,አይሻልም ወንድማማችነት,negative
6052,አታሞርትብነ እንጂ ቀልድ ነዉ ቀንድ,negative
6053,አንች ከርሳም,negative
6054,አሳታፊነቱ ጭፈራ ነው,neutral
6055,እራ በቃ ህዝቡኮ የሚሰራው ሁላ ተዘበራርቆበታል ደሞ ኢትዮጲያ የምን ቀን ነው ያላት,positive
6056,የኢትዮጵያን አትሌቶች ወደ አመራርነት ,negative
6057,ደስ ብሎናል በርቱልን,negative
6058,መሠረተ ድንጋይ መጣል እየበዛ በመሆኑ በኃላ ለትችት እንዳያጋልጥ,negative
6059,ከፍተኛ በደል እና ግፍ እየተደረገበት ያለውን አጣ ከወጣበት  ዓመት ከተመዘገበ  ዓመት የሞላውን የ  ቦሌ በሻሌ ሳይት ቤቱን ሳይረከብ በባንክ  ወለድ ከተጨማሪ ወርሀዊ ክፍያ የቤት ክራይ ከ ኑሮ ውድነት ጋር ተዳምሮ የሚያስመርረውን የአዲስ አበባ ነዋሪ ምነው ለአንድ ቀን ብትመለከቱት እባካችሁን እባካችሁን እባካችሁን,neutral
6060,በማእርግ እዳችሁን አያችሁ አገር እየተወረረ ንጹሀን እየተገደለ እናተ ዘንጡ ,neutral
6061,አው ከጣሊያን ጋር ተዋግታችሁ ላመጣችሁት ድል እናመሰግናል,neutral
6062,መከላከያ ለመተቸት የሚንደረደር የተሸነፈው ወያኔ እና ድፍን ጭንቅላት ዘረኞች እና ጎጠኞች ናቸው,positive
6063,በጣም ጥሩ ነው  የተወሰኑትን ውይይቶች እንኩዋን በቀጥታ ብታስተላልፉልን ጥሩ ነበር,neutral
6064,ተመስገን ጥሩነህ አማራ ነው እንዴ ጎበዝ,neutral
6065,የደደብ ሰብስብ,negative
6066,ስርቼ  ግብርና እከፍላለሁ ታክሲ ከታሪፍ በላይ ንስከፍለኛል  አገልግሎት ፍለጋ ስሔድ ጉዞ እጠየቃለሁ ኑሮ ለጣም ውድ ነው,negative
6067,ንጉሠ ነገስት አምላከ አማልክት እግዚአ ወአጋእዝት ቅዱስ እር ቅዱስ ሐያል ቅዱስ ሕያው  ይበቀልልን,negative
6068,መሪ በለው,positive
6069,ደቡብ ክልል ሚባል አለ እንዴ,neutral
6070,በቡዙ ነገር ክልሉ ራሱን በደንብ መፈተሽ አለበት በርካታ የህዝብ ጥያቄ አለበት ,negative
6071,ወይ አለማፈር,negative
6072,ህሊና አለው ግን,neutral
6073,ምነው በቅርቡ ጉባኤ አኩርፈሽ ነበር በዚህ ነዳጅ ስርቆቱ በፌዴራል መንግስቱ ለምን ተጠረጠርኩ ብለሽ ነው እንዴ,positive
6074,አሽቃባጭ ሚድያማፈሪያ የለሽ,neutral
6075,ዉይይይ ሞተ እንዴ,neutral
6076,ግፈኛ ሰዉ ነዉ,negative
6077,መሣሪም እጫናችሁ እንደሆነ ታውቋል መጨረሻውን አብሮ ማየት ነው እግራቸውን ማጠብ ነው የቀረው የመንግስት ስራ,negative
6078,መንጋ ለማለት ፈልጋችሁ ነው መንግሥት ያላችሁት ,neutral
6079,እራሱ ዋና ጁንታ ነው,neutral
6080,አሜሪካ ከተናገረች ጣልቃገብ ይባላል ቻይና ስትናገር ደሞ ወደጅናት ይባላል አሜሪካስ ምን አለች ወንጀለኞችን ቢፍቱ ሐገራዊ ምክክር አድርጉ ነው ያለች,negative
6081,አቶ በለጠጠ ደሞዙ ከሀዲ,negative
6082,ቀለጠ ሞላ ሙስናው በዛ,negative
6083,ቀያይ ሰይጣኖች ፈቀደኞች ናቸወ ወይ,positive
6084,ወሬ ጠላሁ,neutral
6085,አዳጊ ታዳጊ መቸ ነው የሚቀረዉ እስከ መቸ ነው የሚያድጉት,neutral
6086,መልካም ነዉ ሀሳቡ ግን ኢንዱስትሪ ፓርኩ የህዝብን ጉልበት በመበዝበዝ ቁጥር አንድ ነዉ ክፍያዉ የሞተ እና ማህበረሰቡ እንደራሱ ሀብት እንዳያዬዉ የሚሰራዉ ስራ ሳይንስን ያገናዘበ አደለዉ ለምሳሌ አርሶአደሩን ከማሰዉላይ አስነስቶ ሲበቃ ቀሪዉን በዙርያዉ ያሉት ላይ በክረምት መሬታቸዉ ላይ የዉሀ ጎርፍ እዬለቀቀ ያሰቃያቸዋል,negative
6087,ለወሬ ስትቸኩሉ ስምንትንና ስድስትን አምታትታችሁ አስደነገጣችኋቸው ይህ ገንዘብ ግን ካለፈው ዓመት ተመሳሳይ ጊዜ በዚህ ያህል ጨመረ ከማለታችሁ በፊት ከዋጋ ግሽበቱ ጋር አነፃፅራችኋል ወይስ አያውቁም  ንቀት ነው,negative
6088,ለጦር መሳሪያ መግዣ ባይውል ደግ ገብቶ ነበር,neutral
6089,የግል ተቋማት የህወሀት አጀንዳ ማስፈፀሚያ መሀይም ሀገር አፍራሽ ዜጋ መፈልፈያ ስለሆኑ በአጠቃላይ ይዘጉ,negative
6090,ለተነሱ ጥያቄዎች መልስ ስጡ መሪ እኮ ነዉ,negative
6091,ይህን ሞኝ ህዝብ ተወዳደሱበት ቁስሉን የሚያክምለት ጠፋ እንጅ,negative
6092,አበት የቀዳዳ ብዛት,negative
6093,ጀግና ነሺ,negative
6094,እናንተ ወሬ ብቻ ናችሁ ለህዝብ ጠብ ያለ ነገር የለም ,negative
6095,ሙስናን ለመታገል ክር ጠቅላይ ሚኒስትር አብይ አህመድ ጋር የሚታየው ፖለቲካዊ ቁርጠኝነት በሌሎቹ የካቢኔ አባላት ላይ ለምን ጠፋ,positive
6096,አረ እንዴት ነው ድግስ ጭፈራ በዛ,negative
6097,ልምድ ለመዉሰድ ነዉ,negative
6098,እስ መጥፍቹ ቀን ተመካከሩ እናምናቹለን,positive
6099,ነፋስ ይማር,negative
6100,ሁለተኛ ሀገራችን እናመሰግናለን,negative
6101,በሰዉዲ እስር ቤት ያሉ ወገኖቻችን ባከበሩልን,negative
6102,በመቶ ሺህ ሚቆጠር አማራ ከቢሻንጉል በኦረሞ ጽፈኞችና ወያኔ ሴራ ከቀየቻቸው ተፈናቅለው ሜዳ ላይ ወድቀዋል,positive
6103,ድጋፋ የሚውለው ለኦነግ ማድለቢያ ነው የሚል ጨምሩበት,neutral
6104,ያአፈር ህዝብ ጦርነት ለይ ነው ከህወሀት ጋረ,positive
6105,ውሸታሞች ናቹ ጉዳት ቢደርሰው ኑሮ ኣሁን ባልሰራ ነበር,positive
6106,ለድሮኖች ጠጠር ነው የሚወረወርላቸው,neutral
6107,ምነው ጀግና ጀግና ለመጫዎት ዳዳችሁ ሆን ተብሎ የተማሪ ውጤት ለመቀነስ እየተሰራ ባለበት በዚህ ሰዓት ይህን ብትሉ ትክክል ናችሁ  አመጣህ የተባለ ተማሪ በጀግንነቱ ተማምኖ ቅሬታ ሲያቀርብ ትክክለኛ ውጤቱ ከ በላይ ሆኖ የተገኘበት ዘመን ላይ ይህች ተማሪ አብላጫ ውጤት ባታመጣም እንድታመጣ ማድረግ ቀላል ነው,neutral
6108, ኢያላቃሰ ነዉ ያኢትዮጲያ ተማሪ ጥሩጥሩዉን ፊት አስገቡ አጫብጫቢ ሁላ,negative
6109,አልጋ ላይ ነዋ ሌላ በምንም ሊለካ አይችልም ምክንያቱም ወንድ ልጅ ቢቻው እንዳይሆን መደበርያ ከግራ ጎን ተገኝች,positive
6110,ክክክክክ የሚገርመው በማግስቱ እንደተለቀቀላቸው ሰምተናል ,negative
6111,ተያዘ ነው እንጅ ይህን ተቀጣ ብላችሁ አታውቁም እናተን ነበር ማስጠጣት,negative
6112,የመስረቅ ስልትን በስነስርዓት አሰረዱ አደራ,neutral
6113,አፍ ማስያዥያ ነው ነቅተናል ባትለፉ ይሻላል,neutral
6114,መልከ ጥፉ በስም የደግፉ አሉ አያቴ,positive
6115,ዘይት ለቸገረው ቆርቆሮ ስጠው የሚባል ታሪክ ተሰራ,positive
6116,ምናለ ባታላዝኑብን መጋኛ,neutral
6117,የወሬ ቋጥ,negative
6118,ፍትህ ለምእራብ ወለጋ በኦሮም ልዩ ሀይል ለሚታርዱት,negative
6119,ምን ቦረና ብቻ ጋምቤላ ክልል መጃንግ ዞን የትጀምረው ዉሐ እስከአሁን ድረሰ አንድ ጀሪካን ዉሐ በብር  ነው ግለሰብ ከላይ መንግስት ከስር ነው መጃንግ ዞን ያለው አፈጻጸም,negative
6120,በተስፋ የምንኖረው ህይወት ሰልችቶናል ቆራጥ እርምጃ ወስዶ ውጤቱን ብናየው ነበር ወሬው የሚጥመው,negative
6121,እናመሰግናለን  ,neutral
6122,ንብረቱን መዉረስ ነው ከዚያ በሀላ ለጅናድ ማስረከብ ነው,negative
6123,ድራማችሁ እኮ ደስ ሲል ,negative
6124,የአህያ ጋሪ ጎትችበት,negative
6125,ሳይሺ ያመኛል,negative
6126,የቤቱስ ጉዳይ ,positive
6127,ከምታስመሪቂዉ የምታጠፊ ነዉ የበዛዉ,neutral
6128,መወያየት ይበልጣል,neutral
6129,ሁሌም ከጦርነት ማግስት ድርድር አለ ሚሊዮኖች ካለቁ በኃላ የአለም ቁማር ,neutral
6130,  በኢትዮጵያ የፈረንሳይ አምባሳደር ኢትዮጵያዊ ናቸውንዴ,neutral
6131,እነዚህ ናቸው ብልጽግናዎች የግሳንግስ ስብስብ,neutral
6132,አሁን ይሄ ምኑ ነው ሀሰተኛ ምቀኞች,negative
6133,ዉሸት ነዉከስም ዝርዝር ጋር አቅርቡ,positive
6134,የክልሉ አመራሮችም ከፕሬዝዳንቱ ጀምሮ ነው መነሳት ያለባቸው,neutral
